Restaurant_ID,Restaurant_Name,Country_Code,City,Address,Locality,Locality_Verbose,Longitude,Latitude,Cuisines,Average_Cost_for_two,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Aggregate_rating,Rating_text,Votes
17066603,The Coop,216,Orlando,"610 W Morse Boulevard, Winter Park, FL 32789",Winter Park,"Winter Park, Orlando",-81.3572190000,28.5973660000,"Southern, Cajun, Soul Food",25,$,0,0,0,0,2,3.6,Good,432
17059541,Maggiano's Little Italy,216,Orlando,"9101 International Drive,Orlando, FL 32819",I-Drive/Universal,"I-Drive/Universal, Orlando",-81.4714470000,28.4332350000,Italian,50,$,0,0,0,0,4,4.4,Very Good,886
17064405,Tako Cheena by Pom Pom,216,Orlando,"932 North Mills Avenue, Orlando, FL 32803",Mills 50,"Mills 50, Orlando",-81.3645470000,28.5578450000,"Asian, Latin American, Vegetarian",10,$,0,0,0,0,1,4.4,Very Good,570
17057797,Bosphorous Turkish Cuisine,216,Orlando,"108 S Park Ave, Winter Park, FL 32789",Winter Park,"Winter Park, Orlando",-81.3508344000,28.5976271000,"Mediterranean, Turkish",40,$,0,0,0,0,3,4.2,Very Good,568
17057591,Bahama Breeze Island Grille,216,Orlando,"8849 International Drive, Orlando, FL 32819",I-Drive/Universal,"I-Drive/Universal, Orlando",-81.4715260000,28.4370650000,Caribbean,45,$,0,0,0,0,3,4.3,Very Good,910
17064266,Hawkers Asian Street Fare,216,Orlando,"1103 N Mills Avenue, Orlando, FL 32803",Mills 50,"Mills 50, Orlando",-81.3643470000,28.5605050000,"Asian, Thai",35,$,0,0,0,0,3,4.6,Excellent,1293
17060516,Seasons 52 Fresh Grill,216,Orlando,"7700 West Sand Lake Road, Orlando, FL 32819",Restaurant Row,"Restaurant Row, Orlando",-81.4879780000,28.4481750000,American,60,$,0,0,0,0,4,4.4,Very Good,1685
17060320,Raglan Road Irish Pub and Restaurant,216,Orlando,"1640 E Buena Vista Drive, Lake Buena Vista, FL 32830",Disney: Downtown Disney,"Disney: Downtown Disney, Orlando",-81.5177250000,28.3713380000,Irish,50,$,0,0,0,0,4,4.3,Very Good,782
17059060,Hillstone,216,Orlando,"215 South Orlando Avenue, Winter Park, FL 32789",Winter Park,"Winter Park, Orlando",-81.3652600000,28.5966820000,,40,$,0,0,0,0,3,4.4,Very Good,1158
17059012,Hollerbach's Willow Tree Café,216,Orlando,"205 East 1st Street, Sanford, FL 32771",Sanford,"Sanford, Orlando",-81.2668710000,28.8116530000,German,40,$,0,0,0,0,3,4.8,Excellent,1699
17060869,Texas de Brazil,216,Orlando,"5259 International Drive, Orlando, FL 32819",I-Drive/Universal,"I-Drive/Universal, Orlando",-81.4510725000,28.4676808000,"Brazilian, Steak",100,$,0,0,0,0,4,4.6,Excellent,2324
17061231,The Ravenous Pig,216,Orlando,"565 W Fairbanks Avenue, Winter Park, FL 32789",Winter Park,"Winter Park, Orlando",-81.3560240000,28.5932970000,Pub Food,40,$,0,0,0,0,3,4.4,Very Good,1998
17058534,Earl of Sandwich,216,Orlando,"1750 E Buena Vista Drive, Lake Buena Vista, FL 32830",Disney: Downtown Disney,"Disney: Downtown Disney, Orlando",-81.5146080000,28.3728580000,"American, Sandwich, Salad",35,$,0,0,0,0,3,4.7,Excellent,1341
17057925,Café Tu Tu Tango,216,Orlando,"8625 International Drive, Orlando, FL 32819",I-Drive/Universal,"I-Drive/Universal, Orlando",-81.4699860000,28.4403440000,"New American, Tapas",40,$,0,0,0,0,3,4.6,Excellent,1293
17064031,Tibby's New Orleans Kitchen,216,Orlando,"2203 Aloma Avenue, Winter Park, FL 32792",Winter Park,"Winter Park, Orlando",-81.3226310000,28.6010880000,Cajun,25,$,0,0,0,0,2,4.7,Excellent,1412
17061237,Cevíche Tapas Bar & Restaurant,216,Orlando,"125 West Church Street, Orlando, FL 32801",Church Street District,"Church Street District, Orlando",-81.3810770000,28.5404320000,"Spanish, Tapas",40,$,0,0,0,0,3,4.4,Very Good,981
17061253,Ethos Vegan Kitchen,216,Orlando,"601-B South New York Avenue, Winter Park, FL 32789",Winter Park,"Winter Park, Orlando",-81.3529210000,28.5928570000,"American, Breakfast, Vegetarian",25,$,0,0,0,0,2,4.4,Very Good,797
17061296,Pom Pom's Teahouse and Sandwicheria,216,Orlando,"67 North Bumby Avenue, Orlando, FL 32803",The Milk District,"The Milk District, Orlando",-81.3514670000,28.5435710000,"American, Sandwich, Tea",25,$,0,0,0,0,2,4.9,Excellent,1457
17061205,Yellow Dog Eats,216,Orlando,"1236 Hempel Avenue,Gotha, FL 34786",Windermere,"Windermere, Orlando",-81.5229870000,28.5275920000,"American, BBQ, Sandwich",35,$,0,0,0,0,3,4.9,Excellent,1252
17057397,'Ohana,216,Orlando,"1600 Seven Seas Drive, Lake Buena Vista, FL 32830",Disney World Area,"Disney World Area, Orlando",-81.5852260000,28.4054370000,Hawaiian,45,$,0,0,0,0,3,4.5,Excellent,1151
17093124,Columbia Restaurant,216,Tampa Bay,"2117 E 7th Ave, Tampa, FL 33605",Ybor City,"Ybor City, Tampa Bay",-82.4351499000,27.9598840000,"Cuban, Spanish",40,$,0,0,0,0,3,4.4,Very Good,1746
17099925,Red Mesa Cantina,216,Tampa Bay,"128 3rd St S, St Petersburg, FL 33701",Downtown St Petersburg,"Downtown St Petersburg, Tampa Bay",-82.6369240000,27.7700260000,"Latin American, Mexican, Southwestern",25,$,0,0,0,0,2,4.6,Excellent,1629
17102579,Edison: Food+Drink Lab,216,Tampa Bay,"912 W Kennedy Blvd, Tampa, FL 33606",Hyde Park,"Hyde Park, Tampa Bay",-82.4693060000,27.9442440000,International,70,$,0,0,0,0,4,3.9,Good,373
17099856,Datz,216,Tampa Bay,"2616 S Macdill Avenue, Tampa, FL 33629",Palma Ceia,"Palma Ceia, Tampa Bay",-82.4932815000,27.9219315000,"Desserts, Bar Food",40,$,0,0,0,0,3,4.7,Excellent,3074
